Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Always Late	Electro Swing		Electro Swing May 2017						Electro Swing	4901949	197						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			8	5/9/18, 4:59 PM	2	5/1/18, 5:10 PM		Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Always Late.mp3
Careless Whispear (Electro Swing Mix)	Electro Swing		Electro Swing May 2017						Electro Swing	6032972	245						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			7	5/8/18, 3:18 PM	1	4/19/18, 6:02 PM		Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Careless Whispear (Electro Swing Mix).mp3
Dance Dance Dizzy Dizzy	Electro Swing		Electro Swing May 2017						Electro Swing	9475479	388						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			7	5/5/18, 2:40 PM	3	5/1/18, 7:48 AM		Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Dance Dance Dizzy Dizzy.mp3
Getting Ready	Electro Swing		Electro Swing May 2017						Electro Swing	5457418	221						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			11	5/3/18, 5:57 PM				Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Getting Ready.mp3
Here I Go Again	Electro Swing		Electro Swing May 2017						Electro Swing	4957750	200						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			7	5/3/18, 4:54 PM				Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Here I Go Again.mp3
It's Just another Saturday	Electro Swing		Electro Swing May 2017						Electro Swing	5753347	233						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			9	5/3/18, 4:46 PM	2	5/10/18, 11:01 AM		Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:It's Just another Saturday.mp3
Keep On Coming	Electro Swing		Electro Swing May 2017						Electro Swing	4491307	180						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			11	5/8/18, 11:22 PM				Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Keep On Coming.mp3
Montivo	Electro Swing		Electro Swing May 2017						Electro Swing	6236070	253						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			8	5/8/18, 10:34 PM				Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Montivo.mp3
Reduced Supplies	Electro Swing		Electro Swing May 2017						Electro Swing	4036778	161						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			8	5/11/18, 8:03 AM	3	5/11/18, 8:00 AM		Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Reduced Supplies.mp3
Sitting Shores	Electro Swing		Electro Swing May 2017						Electro Swing	6863016	279						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			4	5/2/18, 7:37 PM	1	4/24/18, 3:53 PM		Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Sitting Shores.mp3
Soft and Smooth Like Caramel 	Electro Swing		Electro Swing May 2017						Electro Swing	5342705	216						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			9	5/7/18, 1:00 PM				Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Soft and Smooth Like Caramel.mp3
Stepping Out	Electro Swing		Electro Swing May 2017						Electro Swing	5148964	208						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			7	5/3/18, 5:43 PM	1	4/24/18, 3:53 PM		Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Stepping Out.mp3
Still Can't Kiss My..	Electro Swing		Electro Swing May 2017						Electro Swing	5600368	227						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			3	4/30/18, 7:33 PM	2	5/8/18, 11:22 PM		Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Still Can't Kiss My...mp3
Together Again	Electro Swing		Electro Swing May 2017						Electro Swing	4201661	168						4/18/18, 5:13 PM	4/18/18, 5:07 PM	192	44100		MPEG audio file			7	5/3/18, 5:37 PM	1	4/24/18, 3:33 PM		Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing May 2017:Together Again.mp3
All Night Long	Electro Swing		Electro Swing September 2017						Electro Swing	4627535	188						4/22/18, 11:43 PM	4/18/18, 5:06 PM	192	44100		MPEG audio file			10	5/9/18, 5:04 PM				Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing September 2017:All Night Long.mp3
Are You Listening	Electro Swing		Electro Swing September 2017						Electro Swing	6327796	258						4/22/18, 11:43 PM	4/18/18, 5:06 PM	192	44100		MPEG audio file			11	5/8/18, 9:19 PM				Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing September 2017:Are You Listening.mp3
As Big As a Whale	Electro Swing		Electro Swing September 2017						Electro Swing	5230653	213						4/22/18, 11:43 PM	4/18/18, 5:06 PM	192	44100		MPEG audio file			9	5/8/18, 11:18 PM				Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing September 2017:As Big As a Whale.mp3
CoDominace	Electro Swing		Electro Swing September 2017						Electro Swing	4876425	198						4/22/18, 11:43 PM	4/18/18, 5:06 PM	192	44100		MPEG audio file			8	5/2/18, 6:47 PM	1	5/10/18, 11:24 AM		Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing September 2017:CoDominace.mp3
Dancing Cheak to Cheak	Electro Swing		Electro Swing September 2017						Electro Swing	4444477	180						4/22/18, 11:43 PM	4/18/18, 5:06 PM	192	44100		MPEG audio file			7	5/3/18, 4:42 PM	2	5/8/18, 11:22 PM		Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing September 2017:Dancing Cheak to Cheak.mp3
Doing the Uptown Lowdown	Electro Swing		Electro Swing September 2017						Electro Swing	5155427	210						4/22/18, 11:43 PM	4/18/18, 5:06 PM	192	44100		MPEG audio file			9	5/3/18, 1:11 PM				Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing September 2017:Doing the Uptown Lowdown.mp3
Get Down	Electro Swing		Electro Swing September 2017						Electro Swing	5230017	213						4/22/18, 11:43 PM	4/18/18, 5:06 PM	192	44100		MPEG audio file			7	5/3/18, 6:13 PM	3	5/8/18, 10:50 PM		Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing September 2017:Get Down.mp3
I Don't Even Dance	Electro Swing		Electro Swing September 2017						Electro Swing	5622491	229						4/22/18, 11:43 PM	4/18/18, 5:06 PM	192	44100		MPEG audio file			10	5/3/18, 6:03 PM				Macintosh HD:Users:90308982:Music:iTunes:iTunes Media:Music:Electro Swing:Electro Swing September 2017:I Don't Even Dance.mp3
